en,fr,it,de,es,ko,kana,pt
Cheri,Ceriz,Baccaliegia,Amrena,Zreza,버치,クラボ,Cheri
Chesto,Maron,Baccastagna,Maron,Atania,유루,カゴ,Chesto
Pecha,Pêcha,Baccapesca,Pirsif,Meloc,복슝,モモン,Pecha
Rawst,Fraive,Baccafrago,Fragia,Safre,복분,チーゴ,Rawst
Aspear,Willia,Baccaperina,Wilbir,Perasi,배리,ナナシ,Aspear
Leppa,Mepo,Baccamela,Jonago,Zanama,과사,ヒメリ,Leppa
Oran,Oran,Baccarancia,Sinel,Aranja,오랭,オレン,Oran
Persim,Kika,Baccaki,Persim,Caquic,시몬,キー,Persim
Lum,Prine,Baccaprugna,Prunus,Ziuela,리샘,ラム,Lum
Sitrus,Sitrus,Baccacedro,Tsitru,Zidra,자뭉,オボン,Sitrus
Figy,Figuy,Baccafico,Giefe,Higog,무화,フィラ,Figy
Wiki,Wiki,Baccakiwi,Wiki,Wiki,위키,ウイ,Wiki
Mago,Mago,Baccamango,Mago,Ango,마고,マゴ,Mago
Aguav,Gowav,Baccaguava,Gauve,Guaya,아바,バンジ,Aguav
Iapapa,Papaya,Baccapaia,Yapa,Pabaya,파야,イア,Iapapa
Razz,Framby,Baccalampon,Himmih,Frambu,라즈,ズリ,Razz
Bluk,Remu,Baccamora,Morb,Oram,블리,ブリー,Bluk
Nanab,Nanab,Baccabana,Nanab,Latano,나나,ナナ,Nanab
Wepear,Repoi,Baccapera,Nirbe,Peragu,서배,セシナ,Wepear
Pinap,Nanana,Baccananas,Sanana,Pinia,파인,パイル,Pinap
Pomeg,Grena,Baccagrana,Grana,Grana,유석,ザロク,Pomeg
Kelpsy,Alga,Baccalga,Setang,Algama,시마,ネコブ,Kelpsy
Qualot,Qualot,Baccaloquat,Qualot,Ispero,파비,タポル,Qualot
Hondew,Lonme,Baccamelon,Honmel,Meluce,로매,ロメ,Hondew
Grepa,Résin,Baccauva,Labrus,Uvav,또뽀,ウブ,Grepa
Tamato,Tamato,Baccamodoro,Tamot,Tamate,토망,マトマ,Tamato
Cornn,Siam,Baccavena,Saim,Mais,수숙,モコシ,Cornn
Magost,Mangou,Baccagostan,Magost,Aostan,고스티,ゴス,Magost
Rabuta,Rabuta,Baccambutan,Rabuta,Rautan,라부탐,ラブタ,Rabuta
Nomel,Tronci,Baccalemon,Tronzi,Monli,노멜,ノメル,Nomel
Spelon,Kiwan,Baccamelos,Kiwan,Wikano,메호키,ノワキ,Spelon
Pamtre,Palma,Baccapalma,Pallm,Plama,자야,シーヤ,Pamtre
Watmel,Stekpa,Baccacomero,Wasmel,Sambia,슈박,カイス,Watmel
Durin,Durin,Baccadurian,Durin,Rudion,두리,ドリ,Durin
Belue,Myrte,Baccartillo,Myrtil,Andano,루베,ベリブ,Belue
Occa,Chocco,Baccacao,Koako,Caoca,오카,オッカ,Occa
Passho,Pocpoc,Baccapasflo,Foepas,Pasio,꼬시개,イトケ,Passho
Wacan,Parma,Baccaparmen,Kerzal,Gualot,초나,ソクノ,Wacan
Rindo,Ratam,Baccarindo,Grindo,Tamar,린드,リンド,Rindo
Yache,Nanone,Baccamoya,Kiroya,Rimoya,플카,ヤチェ,Yache
Chople,Pomroz,Baccarosmel,Rospel,Pomaro,로플,ヨプ,Chople
Kebia,Kébia,Baccakebia,Grarz,Kebia,으름,ビアー,Kebia
Shuca,Jouca,Baccanaca,Schuke,Acardo,슈캐,シュカ,Shuca
Coba,Cobaba,Baccababa,Koba,Kouba,바코,バコウ,Coba
Payapa,Yapap,Baccapayapa,Pyapa,Payapa,야파,ウタン,Payapa
