en,fr,es,it
C'est dangereux de partir sur les routes sans \nl\c[2]Pokemon\c[0] !,C'est dangereux de partir sur les routes sans \nl\c[2]Pokemon\c[0] !,C'est dangereux de partir sur les routes sans \nl\c[2]Pokemon\c[0] !,C'est dangereux de partir sur les routes sans \nl\c[2]Pokemon\c[0] !
":[face=250,Policier;name=Inspecteur Flofli]:Hey ! Crevette !",":[face=250,Policier;name=Inspecteur Flofli]:Hey ! Crevette !",":[face=250,Policier;name=Inspecteur Flofli]:Hey ! Crevette !",":[face=250,Policier;name=Inspecteur Flofli]:Hey ! Crevette !"
":[face=250,Policier;name=Inspecteur Flofli]:L'inspecteur Flofli a le devoir de ne pas te laisser passer ! \nlIl serait bien imprudent de partir aussi vite à l'aventure suite à ton réveil miracle. \nlFais-moi le plaisir de reprendre un peu plus de force. \nlCe n'est pas comme si ce village n'était pas agréable. ",":[face=250,Policier;name=Inspecteur Flofli]:L'inspecteur Flofli a le devoir de ne pas te laisser passer ! \nlIl serait bien imprudent de partir aussi vite à l'aventure suite à ton réveil miracle. \nlFais-moi le plaisir de reprendre un peu plus de force. \nlCe n'est pas comme si ce village n'était pas agréable. ",":[face=250,Policier;name=Inspecteur Flofli]:L'inspecteur Flofli a le devoir de ne pas te laisser passer ! \nlIl serait bien imprudent de partir aussi vite à l'aventure suite à ton réveil miracle. \nlFais-moi le plaisir de reprendre un peu plus de force. \nlCe n'est pas comme si ce village n'était pas agréable. ",":[face=250,Policier;name=Inspecteur Flofli]:L'inspecteur Flofli a le devoir de ne pas te laisser passer ! \nlIl serait bien imprudent de partir aussi vite à l'aventure suite à ton réveil miracle. \nlFais-moi le plaisir de reprendre un peu plus de force. \nlCe n'est pas comme si ce village n'était pas agréable. "
":[face=250,Policier;name=Inspecteur Flofli]:Allez ! Va !",":[face=250,Policier;name=Inspecteur Flofli]:Allez ! Va !",":[face=250,Policier;name=Inspecteur Flofli]:Allez ! Va !",":[face=250,Policier;name=Inspecteur Flofli]:Allez ! Va !"
:[align=center]:Bienvenue à Bourg-Guignon !,:[align=center]:Bienvenue à Bourg-Guignon !,:[align=center]:Bienvenue à Bourg-Guignon !,:[align=center]:Bienvenue à Bourg-Guignon !
:[align=center]:REÇU : \c[5]SUPER BONBON\C[0],:[align=center]:REÇU : \c[5]SUPER BONBON\C[0],:[align=center]:REÇU : \c[5]SUPER BONBON\C[0],:[align=center]:REÇU : \c[5]SUPER BONBON\C[0]
":[align=center]:\s[i]Vous rangez votre ""Super Bonbon"" dans votre sac dans la poche Soins.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Super Bonbon"" dans votre sac dans la poche Soins.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Super Bonbon"" dans votre sac dans la poche Soins.\s[r]",":[align=center]:\s[i]Vous rangez votre ""Super Bonbon"" dans votre sac dans la poche Soins.\s[r]"
\c[2]Pokemon\c[0] : Goupigoupiiii ! ! !,\c[2]Pokemon\c[0] : Goupigoupiiii ! ! !,\c[2]Pokemon\c[0] : Goupigoupiiii ! ! !,\c[2]Pokemon\c[0] : Goupigoupiiii ! ! !
\c[2]Pokemon\c[0] : Paraaaaas ! ! !,\c[2]Pokemon\c[0] : Paraaaaas ! ! !,\c[2]Pokemon\c[0] : Paraaaaas ! ! !,\c[2]Pokemon\c[0] : Paraaaaas ! ! !
C'est dangereux de partir sur les routes sans \nl\c[2]Pokemon\c[0] !,C'est dangereux de partir sur les routes sans \nl\c[2]Pokemon\c[0] !,C'est dangereux de partir sur les routes sans \nl\c[2]Pokemon\c[0] !,C'est dangereux de partir sur les routes sans \nl\c[2]Pokemon\c[0] !
