fr,en,es,pt,de
"\c[18]Avec ta souris, clique sur ce message pour le passer.\c[0]","\c[18]With your mouse, click on this message to skip it.\c[0]","\c[18]With your mouse, click on this message to skip it.\c[0]",":[name=???]:Hello Maker, and welcome to the PokémonSDK Technical Demo!","\c[18]With your mouse, click on this message to skip it.\c[0]"
"\c[18]Tu n'as pas cliqué avec ta souris[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]\nlJ'ai compris, je te laisse te débrouiller pour la suite.\c[0]","\c[18]You didn’t click with your mouse[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]
I see, I’ll let you handle the rest on your own.\c[0]","\c[18]You didn’t click with your mouse[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]
I see, I’ll let you handle the rest on your own.\c[0]",":[name=SirMalo]:I am SirMalo,[WAIT 40] and here are my workmates Aerun,[WAIT 100] Nuri Yuri,[WAIT 100] Palbolsky,[WAIT 100] Rey,[WAIT 100] and Walven![WAIT 100]","\c[18]You didn’t click with your mouse[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]
I see, I’ll let you handle the rest on your own.\c[0]"
\c[18]Bien joué ! Tu sais cliquer[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]\nlTu pourras donc faire de même pour la suite !\c[0],"\c[18]Well done! You know how to click[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]
So you’ll be able to do the same for the rest!\c[0]","\c[18]Well done! You know how to click[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]
So you’ll be able to do the same for the rest!\c[0]","\c[18]Well done! You know how to click[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]
So you’ll be able to do the same for the rest!\c[0]","\c[18]Well done! You know how to click[WAIT 20].[WAIT 20].[WAIT 20].[WAIT 20]
So you’ll be able to do the same for the rest!\c[0]"
,":[name=SirMalo]:Of course, PokémonSDK would never have reached this level without all the contributors who played their part!",":[name=SirMalo]:Of course, PokémonSDK would never have reached this level without all the contributors who played their part!",":[name=SirMalo]:Of course, PokémonSDK would never have reached this level without all the contributors who played their part!",":[name=SirMalo]:Of course, PokémonSDK would never have reached this level without all the contributors who played their part!"
,":[name=SirMalo]:As far as this demo is concerned, it will let you test the different systems we offer with PokémonSDK ingame.",":[name=SirMalo]:As far as this demo is concerned, it will let you test the different systems we offer with PokémonSDK ingame.",":[name=SirMalo]:As far as this demo is concerned, it will let you test the different systems we offer with PokémonSDK ingame.",":[name=SirMalo]:As far as this demo is concerned, it will let you test the different systems we offer with PokémonSDK ingame."
,":[name=SirMalo]:But it is also connected with Pokémon Studio, and it will let you see how these features are implemented.",":[name=SirMalo]:But it is also connected with Pokémon Studio, and it will let you see how these features are implemented.",":[name=SirMalo]:But it is also connected with Pokémon Studio, and it will let you see how these features are implemented.",":[name=SirMalo]:But it is also connected with Pokémon Studio, and it will let you see how these features are implemented."
":[name=SirMalo]:Tu arriveras sous peu sur l'Île, une collection de maps sur lesquelles tu pourras te balader et expérimenter.",":[name=SirMalo]:You will soon arrive on the Island, a collection of maps on which you will be able to explore and experiment on.",":[name=SirMalo]:You will soon arrive on the Island, a collection of maps on which you will be able to explore and experiment on.",":[name=SirMalo]:You will soon arrive on the Island, a collection of maps on which you will be able to explore and experiment on.",":[name=SirMalo]:You will soon arrive on the Island, a collection of maps on which you will be able to explore and experiment on."
":[name=SirMalo]:Je te conseille de d'abord te rendre à la Tour, ça sera le début de ton parcours dans cette démo.\nlQuelqu'un t'y attend.",":[name=SirMalo]:You'll want to start by going to the Tower, as it will be the beginning of your journey. Someone will wait for you there.",":[name=SirMalo]:You'll want to start by going to the Tower, as it will be the beginning of your journey. Someone will wait for you there.",":[name=SirMalo]:You'll want to start by going to the Tower, as it will be the beginning of your journey. Someone will wait for you there.",":[name=SirMalo]:You'll want to start by going to the Tower, as it will be the beginning of your journey. Someone will wait for you there."
":[name=SirMalo]:Mais avant de te laisser partir, je vais te demander quelques informations.",":[name=SirMalo]:But before you leave, I have to ask you for some information.",":[name=SirMalo]:But before you leave, I have to ask you for some information.",":[name=SirMalo]:But before you leave, I have to ask you for some information.",":[name=SirMalo]:But before you leave, I have to ask you for some information."
:[name=SirMalo]:Sais-tu comment changer tes touches ?,:[name=SirMalo]:Do you know how to change your controls?,:[name=SirMalo]:Do you know how to change your controls?,:[name=SirMalo]:Do you know how to change your controls?,:[name=SirMalo]:Do you know how to change your controls?
:[name=SirMalo]:Super ! Continuons avec la prochaine question.,:[name=SirMalo]:Great! Then let's continue with the next question.,:[name=SirMalo]:Great! Then let's continue with the next question.,:[name=SirMalo]:Great! Then let's continue with the next question.,:[name=SirMalo]:Great! Then let's continue with the next question.
":[name=SirMalo]:Pour changer tes touches, appuie sur la touche F1 à tout moment après cette introduction !",":[name=SirMalo]:To change your controls, press the F1 button at any point after this introduction!",":[name=SirMalo]:To change your controls, press the F1 button at any point after this introduction!",":[name=SirMalo]:To change your controls, press the F1 button at any point after this introduction!",":[name=SirMalo]:To change your controls, press the F1 button at any point after this introduction!"
:[name=SirMalo]:Tu pourras alors modifier tes contrôles comme bon te semble.,:[name=SirMalo]:You can then modify your controls as you see fit.,:[name=SirMalo]:You can then modify your controls as you see fit.,:[name=SirMalo]:You can then modify your controls as you see fit.,:[name=SirMalo]:You can then modify your controls as you see fit.
:[name=SirMalo]:Passons à la question suivante.,:[name=SirMalo]:Let's move on to the next question.,:[name=SirMalo]:Let's move on to the next question.,:[name=SirMalo]:Let's move on to the next question.,:[name=SirMalo]:Let's move on to the next question.
:[name=SirMalo]:Quelle est l'apparence qui te définit le mieux ?,:[name=SirMalo]:Which appearence defines you the best?,:[name=SirMalo]:Which appearence defines you the best?,:[name=SirMalo]:Which appearence defines you the best?,:[name=SirMalo]:Which appearence defines you the best?
Gauche,Left,Left,Left,Left
Droite,Right,Right,Right,Right
