index,en,fr,de,es,it,kana,ko,pt
0,Select,Sélect.,,,,,,Select
1,Description,Description,,,,,,Description
2,Earnings,Récomp.,Auszeichnungen,Premios,Premi,,,Earnings
3,Goals,Objectifs,Ziele,Objetivos,Obiettivi,,,Goals
4,Cancel,Retour,Zurück,Salir,Indietro,,,Cancel
5,Main Quests,Principales,Hauptquests,Principales,Principali,,,Main Quests
6,Side Quests,Secondaires,Nebenmissionen,Secundarias,Secondarie,,,Side Quests
7,Completed,Terminées,,,,,,Completed
8,Ongoing quest,Quête en cours,Laufende Suche,Búsqueda en curso,Ricerca in corso,,,Ongoing quest
9,Failed Quests,Échouées,Failed Quests,Misiones Fallidas,Failed Quests,Failed Quests,Failed Quests,Failed Quests
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
