en,fr,it,es,pt,de
---,---,---,---,---,---
Opening Cutscene,Opening Cutscene,Opening Cutscene,Opening Cutscene,Opening Cutscene,Opening Cutscene
Start,Start,Start,Start,Start,Start
Hub,Hub,Hub,Hub,Hub,Hub
Elevator (env),Elevator (env),Elevator (env),Elevator (env),Elevator (env),Elevator (env)
River,River,River,River,River,River
Beach,Beach,Beach,Beach,Beach,Beach
Cave,Cave,Cave,Cave,Cave,Cave
Marsh,Marsh,Marsh,Marsh,Marsh,Marsh
Tundra,Tundra,Tundra,Tundra,Tundra,Tundra
Cycling Road,Cycling Road,Cycling Road,Cycling Road,Cycling Road,Cycling Road
Rocket HQ,Rocket HQ,Rocket HQ,Rocket HQ,Rocket HQ,Rocket HQ
Elevator (sys),Elevator (sys),Elevator (sys),Elevator (sys),Elevator (sys),Elevator (sys)
Laboratory,Laboratoire,Laboratory,Laboratory,Laboratory,Laboratory
Library,Library,Library,Library,Library,Library
Studio,Studio,Studio,Studio,Studio,Studio
Game Corner,Game Corner,Game Corner,Game Corner,Game Corner,Game Corner
Battle Arena,Battle Arena,Battle Arena,Battle Arena,Battle Arena,Battle Arena
Wifi,Wifi,Wifi,Wifi,Wifi,Wifi
Exterior,Exterior,Exterior,Exterior,Exterior,Exterior
Route,Route,Route,Route,Route,Route
Basement,Basement,Basement,Basement,Basement,Basement
Etage,Etage,Etage,Etage,Etage,Etage
Bourg-Guignon,Bourg - Guignon,Bourg-Guignon,Bourg-Guignon,Bourg-Guignon,Bourg-Guignon
Etage,Tartatin,Etage,Etage,Etage,Etage
Cocovin,Cocovin,Cocovin,Cocovin,Cocovin,Cocovin
Bouillabaisse-sur-Mer,Bouillabaisse-sur-Mer,Bouillabaisse-sur-Mer,Bouillabaisse-sur-Mer,Bouillabaisse-sur-Mer,Bouillabaisse-sur-Mer
Route 1,Route 1,Route 1,Route 1,Route 1,Route 1
Route 2,Route 2,Route 2,Route 2,Route 2,Route 2
Grotte Cristaline,Grotte Cristalline,Grotte Cristaline,Grotte Cristaline,Grotte Cristaline,Grotte Cristaline
Maison de Mère-grand,Maison de Mère-grand,Maison de Mère-grand,Maison de Mère-grand,Maison de Mère-grand,Maison de Mère-grand
Maison de la famille Sauve,Maison de la famille Sauve,Maison de la famille Sauve,Maison de la famille Sauve,Maison de la famille Sauve,Maison de la famille Sauve
Maison de la famille Légodas,Maison de la famille Légodas,Maison de la famille Légodas,Maison de la famille Légodas,Maison de la famille Légodas,Maison de la famille Légodas
Planque des Rangers,Planque des Rangers,Planque des Rangers,Planque des Rangers,Planque des Rangers,Planque des Rangers
Lac des Esprits,Lac des Esprits,Lac des Esprits,Lac des Esprits,Lac des Esprits,Lac des Esprits
Foret Enchantée,Foret Enchantée,Foret Enchantée,Foret Enchantée,Foret Enchantée,Foret Enchantée
Foret Enchantée,Foret Enchantée,Foret Enchantée,Foret Enchantée,Foret Enchantée,Foret Enchantée
Maison du Vigneron,Maison du Vigneron,Maison du Vigneron,Maison du Vigneron,Maison du Vigneron,Maison du Vigneron
Maison du Collectionneur,Maison du Collectionneur,Maison du Collectionneur,Maison du Collectionneur,Maison du Collectionneur,Maison du Collectionneur
Maison du Guide,Maison du Guide,Maison du Guide,Maison du Guide,Maison du Guide,Maison du Guide
Centre Pokemon,Centre Pokemon,Centre Pokemon,Centre Pokemon,Centre Pokemon,Centre Pokemon
PokeShop,Boutique Pokemon,PokeShop,PokeShop,PokeShop,PokeShop
Maison de Mr. Zoom,Maison de Mr. Zoom,Maison de Mr. Zoom,Maison de Mr. Zoom,Maison de Mr. Zoom,Maison de Mr. Zoom
Ecole,Ecole,Ecole,Ecole,Ecole,Ecole
Centre Pokemon,Boutique Pokemon,Centre Pokemon,Centre Pokemon,Centre Pokemon,Centre Pokemon
Centre Pokemon (Copie),Centre Pokemon,Centre Pokemon (Copie),Centre Pokemon (Copie),Centre Pokemon (Copie),Centre Pokemon (Copie)
Boutique Pokemon (Copie),Boutique Pokemon,Boutique Pokemon (Copie),Boutique Pokemon (Copie),Boutique Pokemon (Copie),Boutique Pokemon (Copie)
Centre Pokemon (Copie),Centre Pokemon,Centre Pokemon (Copie),Centre Pokemon (Copie),Centre Pokemon (Copie),Centre Pokemon (Copie)
Village 5,Souflopolis,Village 5,Village 5,Village 5,Village 5
Prison,Prison,Prison,Prison,Prison,Prison
Entrée Mine,Entrée Mine Cristalline,Entrée Mine,Entrée Mine,Entrée Mine,Entrée Mine
